restaurant_name,name,rating,review
Restoran EKA RIA,Edbert Wee,4.0,"['vintag', 'restaur', 'jakarta', 'citi', 'center', 'close', 'old', 'town', 'food', 'classic', 'indo', 'chines', 'cuisin', 'chines', 'food', 'indonesian', 'touch', 'angtomi', 'nice', 'fri', 'pigeon', 'also', 'good', 'although', 'littl', 'small', 'udang', 'goreng', 'mayonais', 'also', 'uniqu', 'good', 'pretti', 'good', 'experi']"
Restoran EKA RIA,Rehuellah Angela,4.0,"['vintag', 'restaur', 'bring', 'back', 'old', 'memori', 'even', 'though', 'food', 'tast', 'chang', 'bit', 'textur', 'bird', 'exampl', 'still', 'enjoy']"
Restoran EKA RIA,Armelia Sitopu,5.0,"['pork', 'satay', 'sweet', 'rice', 'best', 'love']"
Restoran EKA RIA,chrissy djafar,5.0,"['went', 'co', 'win', 'prize', 'dad', 'birthday', 'amaz', 'home', 'cook', 'food', 'worth', 'money']"
Restoran EKA RIA,Apri yanto,5.0,"['restaur', 'amaz', 'histori', 'great', 'tast', 'authent', 'chines', 'cuisin', 'friendli', 'staff', 'humbl', 'owner']"
Restoran EKA RIA,Shudup Vlog,4.0,"['great', 'food', 'great', 'vibe', 'bad', 'park', 'space']"
Restoran EKA RIA,Priyo S Suryono,4.0,"['guess', 'one', 'best', 'fri', 'pigeon', 'jakarta', 'serv', 'clean', 'toilet', 'friendli', 'staff', 'pleas', 'tri', 'visit']"
Restoran EKA RIA,Petrus Lay,5.0,"['serv', 'nice', 'chines', 'food', 'year', 'proven', 'recommend', 'restaur']"
Restoran EKA RIA,Sheilla Dewi,5.0,"['old', 'gold', 'thhe', 'food', 'good', 'yesterday', 'love', 'crisp', 'chicken', 'lota', 'thing', 'make', 'sens', 'ice', 'tea', 'price', 'k', 'ice', 'tea', 'eventhough', 'reffil']"
Restoran EKA RIA,Patricia,4.0,"['classic', 'chines', 'restaur', 'around', 'year', 'legend', 'place', 'huuug', 'fit', 'wed', 'occas', 'tri', 'burung', 'dara', 'angsio', 'kerang', 'pasifik']"
Restoran EKA RIA,Leon Kawidjaja,5.0,"['one', 'jakarta', 'best', 'classic', 'chines', 'cuisin']"
Restoran EKA RIA,Silvester Piter,5.0,"['restaur', 'clean', 'mani', 'kind', 'chines', 'food']"
Restoran EKA RIA,nVidya nvidia,4.0,"['chines', 'resto', 'long', 'histori', 'sinc', 'open', 'yet', 'still', 'good', 'mainten', 'place', 'clean', 'look', 'like', 'year', 'old', 'resto', 'dish', 'averag', 'compar', 'famou', 'chines', 'resto']"
Restoran EKA RIA,Leila Lylie,4.0,"['good', 'place', 'line', 'danc', 'sevic', 'good']"
Restoran EKA RIA,Markos Tando,5.0,"['tri', 'fri', 'giant', 'prawn', 'yi', 'fu', 'mi', 'noodl', 'frog', 'dish', 'asparagu', 'crab', 'roe', 'soup', 'classic', 'indonesian', 'chines', 'restaur', 'around', 'age', 'love', 'tast', 'chang', 'sinc', 'first', 'open', 'restaur', 'tri', 'jakarta']"
Restoran EKA RIA,Timothy Sitaba,3.0,"['amaz', 'place', 'famili', 'theme', 'celebr', 'like', 'birthday', 'wed', 'otherwis', 'dead', 'place', 'harsh', 'truth', 'still', 'truth', 'restaur', 'better', 'someth', 'perman', 'close', 'googl', 'map', 'want', 'celebr', 'someth', 'famili', 'go', 'feel', 'sorri', 'much', 'memori', 'want', 'keep', 'place', 'aliv', 'yeah', 'sure', 'go', 'recommend', 'anyh', 'els']"
Restoran EKA RIA,Adie Edwinarto,4.0,"['alot', 'memori', 'remind', 'era', 'parent', 'young', 'food', 'good', 'though', 'rennov', 'toilet', 'good', 'well']"
Restoran EKA RIA,william mulijadi,5.0,"['good', 'food', 'mani', 'privat', 'room', 'karaok']"
Restoran EKA RIA,Meirissa Chen,4.0,"['place', 'big', 'held', 'wed', 'ceremoni', 'minu', 'park', 'lot', 'limit', 'sometim', 'u', 'need', 'park', 'outsid', 'walk', 'far', 'away', 'restaur']"
Restoran EKA RIA,christofer caesar,5.0,"['chines', 'descent', 'kid', 'old', 'man', 'never', 'take', 'dinner', 'lie', 'fri', 'rice', 'perfect', 'nostalg']"
Restoran EKA RIA,Bob Kertopati,5.0,"['good', 'place', 'big', 'day']"
Restoran EKA RIA,Cindy C Rahardjo,4.0,"['old', 'chines', 'food', 'reataur', 'tast', 'realli', 'awesom', 'authent', 'suitabl', 'engang', 'event', 'park', 'lot', 'wheelchair', 'access', 'avail']"
Restoran EKA RIA,Ryan Leonel,4.0,"['one', 'origin', 'chines', 'restaur', 'jakarta', 'good', 'tast', 'ideal', 'ambienc', 'larg', 'famili', 'gather', 'wed', 'servic', 'great', 'though']"
Restoran EKA RIA,Junita Cen (郑彦美),5.0,"['nice', 'place', 'good', 'food', 'sometim', 'turn', 'wed', 'hall', 'park', 'lot', 'big', 'enough', 'car']"
Restoran EKA RIA,Angel,4.0,"['nice', 'place', 'littl', 'bit', 'old', 'still', 'ok', 'tast', 'n', 'price', 'good', 'enough']"
Restoran EKA RIA,hendra sunardi,5.0,"['excel', 'big', 'comfort', 'space', 'danc', 'gather', 'variou', 'event', 'good', 'locat', 'good', 'fresh', 'food', 'reason', 'price', 'good', 'servic', 'good', 'live', 'band', 'ambienc']"
Restoran EKA RIA,Shim Lee Men,3.0,"['food', 'good', 'pricey', 'bit', 'tri', 'lot', 'dish', 'like', 'cold', 'dish']"
Restoran EKA RIA,Judy Soetedja,5.0,"['favourit', 'old', 'style', 'chines', 'food', 'fu', 'mie', 'dish', 'awesom', 'restaur', 'get', 'even', 'close']"
Restoran EKA RIA,Defi Yuda (LCI Distrik 307-A1),4.0,"['good', 'place', 'danc', 'origin', 'chines', 'food']"
Restoran EKA RIA,Jessica Glory Aprillia,5.0,"['good', 'place', 'good', 'foodexecpt', 'sup', 'kepit']"
Restoran EKA RIA,Mister Shie Fung,1.0,"['super', 'limit', 'park', 'spot', 'bad', 'qualiti', 'food', 'cant', 'find', 'singl', 'reason', 'attend', 'hold', 'parti', 'ever']"
Restoran EKA RIA,budiono tjahjono,5.0,"['heritag', 'spaciou', 'delici', 'chines', 'restaur', 'vip', 'karaok', 'room', 'danc', 'floor']"
Restoran EKA RIA,BRYAN MATTHEW W,4.0,"['ate', 'chiken', 'shrimp', 'fri', 'rice', 'sweet', 'sour', 'pork', 'good', 'sweet', 'sour', 'pork', 'except']"
Restoran EKA RIA,love simple,5.0,"['good', 'place', 'nice', 'owner', 'help', 'staff', 'good', 'gener', 'make', 'event', 'recommend']"
Restoran EKA RIA,Michael Soetantyo,3.0,"['thu', 'restaur', 'skate', 'glori', 'past', 'vintag', 'chines', 'cuisin', 'popular', 'senior']"
Restoran EKA RIA,strong Yanthi,5.0,"['beauti', 'place', 'n', 'warm', 'wed', 'parti']"
Restoran EKA RIA,Hans Hon,5.0,"['delici', 'food', 'great', 'atmospher', 'nice', 'privat', 'room', 'karaok', 'facil']"
Restoran EKA RIA,DM Sumarli,4.0,"['salah', 'restaur', 'generasi', 'jadul', 'tast', 'wish', 'improv']"
Restoran EKA RIA,Dino Jackson,5.0,"['good', 'food', 'nice', 'ambianc']"
Restoran EKA RIA,Evan Huang,5.0,"['great', 'ambient', 'food']"
Restoran EKA RIA,Yudhie Andryanus Yu (余 维 康),4.0,"['one', 'famili', 'favorit', 'restaur', 'celebr', 'birthday', 'wed', 'reunion']"
Restoran EKA RIA,Sony Pangestu,5.0,"['old', 'gold', 'might', 'consid', 'fanci', 'restaur', 'nowaday', 'still', 'love', 'food', 'year']"
Restoran EKA RIA,Joffre Sudarmanto,5.0,"['good', 'place', 'staff', 'help', 'food', 'good']"
Restoran EKA RIA,Calvin Setiawan,4.0,"['memor', 'chines', 'food', 'restaur', 'think', 'ekaria', 'alreadi', 'exist', 'sinc', 'long', 'time', 'ago', 'hahahaha']"
Restoran EKA RIA,EH,5.0,"['tast', 'delici', 'food', 'especi', 'bird', 'menu', 'tasti']"
Restoran EKA RIA,Finn Art,4.0,"['famou', 'chines', 'restaur', 'china', 'town', 'hayam', 'wuruk', 'area']"
Restoran EKA RIA,aryani febriani,5.0,"['good', 'food', 'best', 'place', 'famili', 'gather']"
Restoran EKA RIA,Selvin Ariani,5.0,"['jam', 'line', 'danc']"
Restoran EKA RIA,eddie susanto,4.0,"['good', 'tast', 'place', 'park', 'lot', 'small']"
Restoran EKA RIA,Ferry Sutanto,3.0,"['vintag', 'chines', 'restaur', 'tast', 'great', 'tri', 'order', 'fri', 'pigeon']"
Restoran EKA RIA,Santy Wijaya,4.0,"['new', 'decor', 'nice', 'food']"
Restoran EKA RIA,Karvin Tjhin,5.0,"['food', 'good', 'n', 'place', 'birthday', 'n', 'marri', 'parti']"
Restoran EKA RIA,Tonny Tampi,4.0,"['food', 'ok', 'good', 'use']"
Restoran EKA RIA,Steven Louis,4.0,"['din', 'hall', 'glamour', 'food', 'good']"
Restoran EKA RIA,Adi Prasetya,5.0,"['best', 'place', 'famili', 'food', 'good']"
Restoran EKA RIA,Dave Hershey,5.0,"['build', 'old', 'food', 'nice']"
Restoran EKA RIA,Cristianto Chandra,5.0,"['good', 'servic', 'nice', 'food', 'atmospher']"
