restaurant_name,name,rating,review
Restoran EKA RIA,Edbert Wee,4.0,Vintage restaurant in Jakarta city center (close to old town). The food is the classic Indo Chinese cuisine (Chinese food with Indonesian touch to it. Their angtomie is very nice. The fried pigeon is also good although it's a little small. Their udang goreng mayonaise is also unique and good. Pretty good experience here 👍
Restoran EKA RIA,Rehuellah Angela,4.0,"vintage restaurant that brings back old memories. Even though for the food taste has changed a bit (the texture of the bird for example), but still enjoyable for once a while."
Restoran EKA RIA,Armelia Sitopu,5.0,Pork satay and sweet rice are the best. Love it!
Restoran EKA RIA,chrissy djafar,5.0,"Went there cos I win the prize and it’s my dad birthday ,amazing home cook food! Worth the money!"
Restoran EKA RIA,Apri yanto,5.0,"Restaurant with a amazing history. Great taste of authentic Chinese cuisine, friendly staff, and humble owner"
Restoran EKA RIA,Shudup Vlog,4.0,"great food great vibes, bad parking space"
Restoran EKA RIA,Priyo S Suryono,4.0,"I guess one best fried pigeon in Jakarta was served, clean toilet and friendly staff, please try and visit"
Restoran EKA RIA,Petrus Lay,5.0,They have been serving nice Chinese food for years. It's proven. Recommended restaurant.
Restoran EKA RIA,Sheilla Dewi,5.0,Old but gold..Thhe food is as good as yesterday.. love their crisp chicken and lota more.. the only things that doesn’t make sense is their ice tea price. 12.5k for ice tea (eventhough reffil)
Restoran EKA RIA,Patricia,4.0,"Classic chinese restaurant, they have been around for 50+ years, such a legend.The place was huuuge, fit for wedding or any occasions.Tried burung dara and angsio kerang pasifik."
Restoran EKA RIA,Leon Kawidjaja,5.0,One of Jakarta's best classic Chinese cuisine
Restoran EKA RIA,Silvester Piter,5.0,The restaurant is clean and there are many kinds of Chinese foods
Restoran EKA RIA,nVidya nvidia,4.0,This chinese resto has a very long history since opening in 1925 and yet they still in good maintenance. The place are clean and don't look like a 93 years old resto. The dish were above average compared to other famous chinese restos.
Restoran EKA RIA,Leila Lylie,4.0,Very good place for Line Dance & sevice is good too..
Restoran EKA RIA,Markos Tando,5.0,"Try the fried giant prawn, yi fu mi noodles, frog dishes, asparagus with crab roe soup. The classic Indonesian Chinese restaurant that has been around for ages. If you love tastes that hasn't changed since they first opened, this is the restaurant to try in Jakarta"
Restoran EKA RIA,Timothy Sitaba,3.0,"Amazing place for family themed celebration, like birthdays or wedding from an otherwise a dead place. Harsh truth is still a truth, and this restaurant better do something before it permanently closed in google map. If you want to celebrate something with your family, do go here, or if you just feel sorry and you have so much memory there you want to keep the place alive, yeah sure go. Wouldn't recommend for anyhing else."
Restoran EKA RIA,Adie Edwinarto,4.0,"Alot of memories, reminds you of an era where your parents were young. Food was good, though. And they've rennovate the toilet too. All is good, all is well."
Restoran EKA RIA,william mulijadi,5.0,good food with many private rooms and karaoke
Restoran EKA RIA,Meirissa Chen,4.0,"The place is big. You can held wedding ceremony in here. The minus is the parking lot. It's very limited. Sometimes, u need to park outside and walk far away from the restaurant"
Restoran EKA RIA,christofer caesar,5.0,"If you're a chinese descent 90s kid and your old man never take you for dinner here, you are lying! The fried rice is just perfect. Nostalgic!"
Restoran EKA RIA,Bob Kertopati,5.0,Good place for your big day
Restoran EKA RIA,Cindy C Rahardjo,4.0,"Old chinese food reataurant which taste really awesome, authentic, suitable for engangement or any other events. Parking lot and wheelchair access are available."
Restoran EKA RIA,Ryan Leonel,4.0,"One of the original Chinese restaurants in Jakarta, with good taste and ideal ambience for large family gatherings/weddings - the service aren't that great though"
Restoran EKA RIA,Junita Cen (郑彦美),5.0,"nice place, good food.. sometimes it can turn to be wedding hall. but the parking lot isn't big enough for 60-100 cars"
Restoran EKA RIA,Angel,4.0,"Nice place, a little bit old, but still ok. The taste n price good enough"
Restoran EKA RIA,hendra sunardi,5.0,"Excellent big comfortable space for dancing, gathering and various events in good location with good and fresh foods in reasonable prices, good services, good live bands and ambience."
Restoran EKA RIA,Shim Lee Men,3.0,Food is good. Pricey a bit but can try for lots of dishes... 100 likes for the cold dishes.
Restoran EKA RIA,Judy Soetedja,5.0,"Favourite old style chinese food. I fu mie dish here is awesome, no other restaurant can get even close."
Restoran EKA RIA,Defi Yuda (LCI Distrik 307-A1),4.0,"Good place for dance, original chinese food"
Restoran EKA RIA,Jessica Glory Aprillia,5.0,Good Place Good FoodExecpt sup kepiting
Restoran EKA RIA,Mister Shie Fung,1.0,Super limited parking spots and bad quality of food. I cant find a single reason to attend/hold party there ever again..
Restoran EKA RIA,budiono tjahjono,5.0,"Heritage spacious and delicious Chinese restaurant, have Vip karaoke room and dance floor"
Restoran EKA RIA,BRYAN MATTHEW W,4.0,I ate the chiken and shrimp fried rice and sweet and sour pork it was good but sweet and sour pork was exceptional!
Restoran EKA RIA,love simple,5.0,Good Place . Nice owner and helpfully staff. Good and generous to make event here. I very recommend it😄🤗❤
Restoran EKA RIA,Michael Soetantyo,3.0,Thus restaurant is skating by on its glory past. Vintage Chinese cuisine popular with the seniors.
Restoran EKA RIA,strong Yanthi,5.0,Beautiful places n warm to wedding party...
Restoran EKA RIA,Hans Hon,5.0,"Delicious foods, great atmosphere, nice private room with karaoke facility!!!"
Restoran EKA RIA,DM Sumarli,4.0,"Salah 1 restaurant generasi jadul, taste so so just wish they can improve it"
Restoran EKA RIA,Dino Jackson,5.0,"Good food, nice ambiance"
Restoran EKA RIA,Evan Huang,5.0,Great ambient and food
Restoran EKA RIA,Yudhie Andryanus Yu (余 维 康),4.0,It's one of my family favorites restaurant to celebrate Birthdays - Wedding and reunion .!
Restoran EKA RIA,Sony Pangestu,5.0,Old but gold. Might not be considered a fancy restaurant nowadays but still love the food after all those years.
Restoran EKA RIA,Joffre Sudarmanto,5.0,It was a good place. The staff was helpful. The food was good.
Restoran EKA RIA,Calvin Setiawan,4.0,Memorable Chinese Food restaurant. i think Ekaria already exists since a long time ago. hahahaha
Restoran EKA RIA,EH,5.0,to taste delicious food. especially the bird menu is very tasty
Restoran EKA RIA,Finn Art,4.0,Famous Chinese restaurant in China town hayam wuruk area.
Restoran EKA RIA,aryani febriani,5.0,Good food and best place for family gathering
Restoran EKA RIA,Selvin Ariani,5.0,Jamming line dance
Restoran EKA RIA,eddie susanto,4.0,(+) Good taste and place(-) Parking lot is too small
Restoran EKA RIA,Ferry Sutanto,3.0,Vintage Chinese restaurant. Taste great. Try to order fried pigeon.
Restoran EKA RIA,Santy Wijaya,4.0,New decoration with nice food.
Restoran EKA RIA,Karvin Tjhin,5.0,Food was good n the place was birthday n married party.
Restoran EKA RIA,Tonny Tampi,4.0,Food is ok but not as good as used to be
Restoran EKA RIA,Steven Louis,4.0,The dinning hall is glamour but the food isn't that good...
Restoran EKA RIA,Adi Prasetya,5.0,"Best place for family, the food is so good"
Restoran EKA RIA,Dave Hershey,5.0,Building is old but the food is very nice
Restoran EKA RIA,Cristianto Chandra,5.0,"Good service, nice food and atmosphere"
Restoran EKA RIA,Ng Sun Lie,5.0,Nice place for gathering or simply having family dinner
Restoran EKA RIA,Indra Simon,5.0,"Nice place, great food, big aula"
Restoran EKA RIA,Endrik Lie,5.0,"Chinese food, old styles, quite. the food is very good but very expensive"
Restoran EKA RIA,Suryadi Hertanto,4.0,"Their target was mid to up market segment, so their price follow."
Restoran EKA RIA,Vincent Saputra,3.0,Very noisy and the food tastes average.
Restoran EKA RIA,Valentina W. Amanda,5.0,"good food, good ambience, easy access from the main road."
Restoran EKA RIA,edi tsui,2.0,This restaurant need renovation asap. Food also need improvement
Restoran EKA RIA,Peter Sumali,5.0,Old restaurant yet the food is authentic and yummy
Restoran EKA RIA,Len Ng,2.0,Old school indo chinese food with old school high prices.
Restoran EKA RIA,DR.Yohan Purnawan,5.0,Nice place ... good taste
Restoran EKA RIA,Bung Kusi,3.0,One of the good Chinese restaurant that still survived from the old-era.
Restoran EKA RIA,Anwar Arif,4.0,Have a nice dancing floor
Restoran EKA RIA,Vicky Wen,3.0,I think they didnt turn on the ac when I was there.
Restoran EKA RIA,yulianto sung,3.0,"Old restoran, but the taste is delicious"
Restoran EKA RIA,Tirta Lie,5.0,One of The Legend Chinese Restaurant in Jakarta
Restoran EKA RIA,Imam Gunawan,4.0,My wedding dec 2012. Everlasting moment
Restoran EKA RIA,Raja localwebninja,4.0,Good food. Interesting design.
Restoran EKA RIA,Neea 1st,5.0,Ok
Restoran EKA RIA,vision Laserman,4.0,"Cozy, delicious food, non halal."
Restoran EKA RIA,David Honasan,4.0,The chinese food at here quite good.
Restoran EKA RIA,Mikael Michael,5.0,Good place for eat chinese food
Restoran EKA RIA,Daniel Prijatna,5.0,Nice place and good food
Restoran EKA RIA,Anton Suryajaya,4.0,"good hall, for wedding, meeting, etc."
Restoran EKA RIA,HF,3.0,Kind of old fashion with so so food
Restoran EKA RIA,Antoni Jusuf Widyanto,4.0,Makanannya oldies but good
Restoran EKA RIA,Kaleb Juliu,3.0,the food is pretty bad and not that fresh
Restoran EKA RIA,tika desi,4.0,"Convenient place, but tight place for parking"
Restoran EKA RIA,Hendra Sulaiman,5.0,The best dancing place in the country
Restoran EKA RIA,Agustian Chia,5.0,table performance
Restoran EKA RIA,FeLi,4.0,Good place for family gathering.
Restoran EKA RIA,Selvi Tan,3.0,Has been coming here since my childhood years
Restoran EKA RIA,Tony Sudjana gofur,4.0,Just exc.chinese resto.
Restoran EKA RIA,BENNY SALY,4.0,Nice place to dance
Restoran EKA RIA,Siusian Khu,3.0,Good
Restoran EKA RIA,Suwandy Wijaya,5.0,Good
Restoran EKA RIA,Burstono Lunardi,5.0,"Old-school Chinese food, must visit!"
Restoran EKA RIA,Marcel Kumontoy,4.0,Old school chinese restaurant in Jakarta.
Restoran EKA RIA,Dyal Suadyal,4.0,Free parking available in basement
Restoran EKA RIA,Hardi Supianto,5.0,good food
Restoran EKA RIA,David Thomas,4.0,Good restaurant for wedding.
Restoran EKA RIA,Kusuma Budi Hartono,5.0,Private room for fam 👍👍
Restoran EKA RIA,danny chen,5.0,must try nice banget
Restoran EKA RIA,Ahmed Bakori,3.0,Wedding Steven & Petty :)
Restoran EKA RIA,Toby Rorimpandey,5.0,Ballroomdance.fun.great ambiance
Restoran EKA RIA,Harianto Komil,4.0,Nice food
Restoran EKA RIA,Gadget Apa,4.0,Nice food
Restoran EKA RIA,Yohanes J H,4.0,Nice food
Restoran EKA RIA,Kastono Halim Salim,5.0,Nice pigeon with butter sauce
