name,rating,review
karteenknee karteenknee,2.0,hotel was pretty old the lighting in the room is quite dim as there is no main light the ac is not cold enough ans you have to wait mins the carpet along the corridor not to mention the wall the staff said our room is in the new building i doubted it at the same time i wondered what would old building look like if i were in the new one i believe there are more better hotels at this price range and lastly their staff will surely respond to this review by using their template answer for sure this gonna be my last visit
Faqih Alfatih,4.0,an old building but still quite functioning has a painfully slow and small elevator so guests have to wait several minutes just to get to the lobby the rooms and services are great the foods are excellent and personally the vibes kinda ominous 
Dwi Suseno,4.0,old hotel but still comfortable enough to stay there because the area is limited for parking needs hotel staff especially if there is an event being held at the hotel the thing that needs to be improved is the leaking water faucet in the bathtub rooms service location hotel highlights great value eco friendly more
Cyril Draws,4.0,strategic location room was okay pretty old parking area in the basement which wasn t big enough swimming pool quite small the food was nicerooms service location more
Kamlesh RC,1.0,the ac in the room was not cold tried to call the reception but later realized that i could not call as the phone was broken had to go down and met with mr fergan in front desk and he said the technician was attending to another troubled ac room and will come to mine i also asked to talk to the manager on duty he tried to change the topic as not to disturb the mod after insisting his friend agreed to call the technician came with a mid size can and wanted to service our ac by adding freon i objected and was moved to another room this happened between pm to pm we moved to another room the mod mr gunawan was very helpful but all other staff seems to care less next morning wanted to talk to the manager but they refused as thr manager was on holiday i asked if i can be called by the manager and they said yes a mr dimas took my number but no one called back from the hotel overall a bad experience this is an old hotel condition of the walls needs repairing and repaint the air inside the hotel rooms are a bit stuffy ants are fast to assemble at any food kept on the table basically
opiq yaa 1m4n djamal,4.0,hotel already worn out room should be renovated but location is near simpang limarooms service location more
Christina Natalia,5.0,had good experience in here near by simpang lima semarang have several facilities such as swimming pool good view with traditional vibes rooms service location more
Arrakh TV,1.0,hot water is not working the building seems old and not maintenanced yet
Amir Syafrudin,3.0,i stayed in this hotel for night the location was easy to reach it s quite strategic but it had the feel of an old hotel the staff was friendly the only problem was the room it was a smoking room even though i remember to order a non smoking room via traveloka maybe it got mixed up i didn t really check because it was already late and i was exhausted from my trip one funny thing though i strongly remember that i ordered a double bed i m staying with my wife but i got a single bed that was deliberately arranged to be a double bed that one was quite hilarious me and my wife both laugh when we saw the bed in all it s decent enough but i don t think i ll put this hotel a bit lower on my list of preferred accomodations 
Calvin Perdana,5.0,the staff are very helpful the room and its breakfast is okay with the price they given to me if you want to see semarang skylines at night please order the highest floor on the east side of the hotel unfortunately i got north side 
Andi Dianni Anggraini,2.0,we booked last minute for one night for transit we chose family room checked in and went out until late night we fell asleep and when we woke up we found some dry blood spot from someone s period on our bed sheet and cover we had breakfast this morning they only have papayas on the fruit counter and my daughter found hairs yes multiple in her fried rice made her stop eating i choose soto semarang but quite disappointed because the beansprout looked unhealthy the omelette was so dry i know we are in the middle of pandemic situation we have limitations but there were quite many guests stayed in the hotel and the hotel supposed to pay more attention to these things especially the foods the served and the room was clean but the bed the one thing supposedly the most clean was quite gross and also our toilet can t flush because the flush handle was broken 
Gunawan Anindyamantri,5.0,located in the center of the city which also near to gift shops only minutes walk this hotel not only have comfortable rooms but also good breakfast with various foods beverages the staff also good perform friendly price three words it s worthed another thing you can find here is that some of rooms have completed with smart tv so you are not only may watch local channel but also netflix youtube etc 
hari cahyo,4.0,it s an old building and i m gonna give it stars if they renovate itrooms service location more
Hengky Mokoginta,5.0,old style hotel but good clean comfort and affordable price 
Heru Heru,2.0,hotel that looks old and smell old unless you have to stay in city center it s best to look somewhere else insufficient parking space getting in and out of tight parking area need some acrobatic skill one of the saving grace for this hotel is the breakfast which is varied other than the coffee taste are generally quite good 
Bray Wok,3.0,it is quite an old hotel with plenty of rooms a bit out dated nothing special on the buffet breakfast the good thing about this place is the strategic location right within the center of the city the spacious basement parking lot is another additional value to this hotel 
Meindayani Artanti,5.0,nice and clean hotel recomended
Faaza Fakhrunnas,4.0,worth but need to improve the food and cleanness
Brahmanto Anindito,4.0,i was with my wife and daughter in superior deluxe room no the hotel is located at the main street which is pretty noisy but the bright side is it s near everywhere they had good hospitality from office boy receptionist to security i also love the swimming pool it s a cozy ambiance not crowded be it week days or week end the water is crystal unfortunately it s only one meter deep 
Hendra Septa,4.0,very good hotels just in center of town simpang lima hospitality clean and cozy room tasty breakfast the swimming pool only m deep and not so big location very strategic near to every favorite spot 
Arsita Mutaqin,5.0,good service yummy food cleaning room
bazz beto,3.0,room is clean very good at that price rate breakfast was below my expectation adding some western food on the menu will be great too tiny size swimming pool free valet parking 
