name,rating,review
karteenknee karteenknee,2.0,"['hotel', 'pretty', 'old', 'lighting', 'room', 'quite', 'dim', 'main', 'light', 'ac', 'cold', 'enough', 'ans', 'wait', 'mins', 'carpet', 'along', 'corridor', 'mention', 'wall', 'staff', 'said', 'room', 'new', 'building', 'doubted', 'time', 'wondered', 'would', 'old', 'building', 'look', 'like', 'new', 'one', 'believe', 'better', 'hotels', 'price', 'range', 'lastly', 'staff', 'surely', 'respond', 'review', 'using', 'template', 'answer', 'sure', 'gon', 'na', 'last', 'visit']"
Faqih Alfatih,4.0,"['old', 'building', 'still', 'quite', 'functioning', 'painfully', 'slow', 'small', 'elevator', 'guests', 'wait', 'several', 'minutes', 'get', 'lobby', 'rooms', 'services', 'great', 'foods', 'excellent', 'personally', 'vibes', 'kinda', 'ominous']"
Dwi Suseno,4.0,"['old', 'hotel', 'still', 'comfortable', 'enough', 'stay', 'area', 'limited', 'parking', 'needs', 'hotel', 'staff', 'especially', 'event', 'held', 'hotel', 'thing', 'needs', 'improved', 'leaking', 'water', 'faucet', 'bathtub', 'rooms', 'service', 'location', 'hotel', 'highlights', 'great', 'value', 'eco', 'friendly']"
Cyril Draws,4.0,"['strategic', 'location', 'room', 'okay', 'pretty', 'old', 'parking', 'area', 'basement', 'big', 'enough', 'swimming', 'pool', 'quite', 'small', 'food', 'nicerooms', 'service', 'location']"
Kamlesh RC,1.0,"['ac', 'room', 'cold', 'tried', 'call', 'reception', 'later', 'realized', 'could', 'call', 'phone', 'broken', 'go', 'met', 'mr', 'fergan', 'front', 'desk', 'said', 'technician', 'attending', 'another', 'troubled', 'ac', 'room', 'come', 'mine', 'also', 'asked', 'talk', 'manager', 'duty', 'tried', 'change', 'topic', 'disturb', 'mod', 'insisting', 'friend', 'agreed', 'call', 'technician', 'came', 'mid', 'size', 'wanted', 'service', 'ac', 'adding', 'freon', 'objected', 'moved', 'another', 'room', 'happened', 'pm', 'pm', 'moved', 'another', 'room', 'mod', 'mr', 'gunawan', 'helpful', 'staff', 'seems', 'care', 'less', 'next', 'morning', 'wanted', 'talk', 'manager', 'refused', 'thr', 'manager', 'holiday', 'asked', 'called', 'manager', 'said', 'yes', 'mr', 'dimas', 'took', 'number', 'one', 'called', 'back', 'hotel', 'overall', 'bad', 'experience', 'old', 'hotel', 'condition', 'walls', 'needs', 'repairing', 'repaint', 'air', 'inside', 'hotel', 'rooms', 'bit', 'stuffy', 'ants', 'fast', 'assemble', 'food', 'kept', 'table', 'basically']"
opiq yaa 1m4n djamal,4.0,"['hotel', 'already', 'worn', 'room', 'renovated', 'location', 'near', 'simpang', 'limarooms', 'service', 'location']"
Christina Natalia,5.0,"['good', 'experience', 'near', 'simpang', 'lima', 'semarang', 'several', 'facilities', 'swimming', 'pool', 'good', 'view', 'traditional', 'vibes', 'rooms', 'service', 'location']"
Arrakh TV,1.0,"['hot', 'water', 'working', 'building', 'seems', 'old', 'maintenanced', 'yet']"
Amir Syafrudin,3.0,"['stayed', 'hotel', 'night', 'location', 'easy', 'reach', 'quite', 'strategic', 'feel', 'old', 'hotel', 'staff', 'friendly', 'problem', 'room', 'smoking', 'room', 'even', 'though', 'remember', 'order', 'non', 'smoking', 'room', 'via', 'traveloka', 'maybe', 'got', 'mixed', 'really', 'check', 'already', 'late', 'exhausted', 'trip', 'one', 'funny', 'thing', 'though', 'strongly', 'remember', 'ordered', 'double', 'bed', 'staying', 'wife', 'got', 'single', 'bed', 'deliberately', 'arranged', 'double', 'bed', 'one', 'quite', 'hilarious', 'wife', 'laugh', 'saw', 'bed', 'decent', 'enough', 'think', 'put', 'hotel', 'bit', 'lower', 'list', 'preferred', 'accomodations']"
Calvin Perdana,5.0,"['staff', 'helpful', 'room', 'breakfast', 'okay', 'price', 'given', 'want', 'see', 'semarang', 'skylines', 'night', 'please', 'order', 'highest', 'floor', 'east', 'side', 'hotel', 'unfortunately', 'got', 'north', 'side']"
Andi Dianni Anggraini,2.0,"['booked', 'last', 'minute', 'one', 'night', 'transit', 'chose', 'family', 'room', 'checked', 'went', 'late', 'night', 'fell', 'asleep', 'woke', 'found', 'dry', 'blood', 'spot', 'someone', 'period', 'bed', 'sheet', 'cover', 'breakfast', 'morning', 'papayas', 'fruit', 'counter', 'daughter', 'found', 'hairs', 'yes', 'multiple', 'fried', 'rice', 'made', 'stop', 'eating', 'choose', 'soto', 'semarang', 'quite', 'disappointed', 'beansprout', 'looked', 'unhealthy', 'omelette', 'dry', 'know', 'middle', 'pandemic', 'situation', 'limitations', 'quite', 'many', 'guests', 'stayed', 'hotel', 'hotel', 'supposed', 'pay', 'attention', 'things', 'especially', 'foods', 'served', 'room', 'clean', 'bed', 'one', 'thing', 'supposedly', 'clean', 'quite', 'gross', 'also', 'toilet', 'flush', 'flush', 'handle', 'broken']"
Gunawan Anindyamantri,5.0,"['located', 'center', 'city', 'also', 'near', 'gift', 'shops', 'minutes', 'walk', 'hotel', 'comfortable', 'rooms', 'also', 'good', 'breakfast', 'various', 'foods', 'beverages', 'staff', 'also', 'good', 'perform', 'friendly', 'price', 'three', 'words', 'worthed', 'another', 'thing', 'find', 'rooms', 'completed', 'smart', 'tv', 'may', 'watch', 'local', 'channel', 'also', 'netflix', 'youtube', 'etc']"
hari cahyo,4.0,"['old', 'building', 'gon', 'na', 'give', 'stars', 'renovate', 'itrooms', 'service', 'location']"
Hengky Mokoginta,5.0,"['old', 'style', 'hotel', 'good', 'clean', 'comfort', 'affordable', 'price']"
