mitra_name,position_name,address,description
PT. IlmuKomputerCom Braindevs Sistema,01BD - Systems Analyst,"Menara Bidakara 1  Lantai 2,
Jl. Gatot Subroto Kav. 71-73 Pancoran
Jakarta Selatan 12870",Systems Analysis and Design Team Work Communication Skills Time Management Requirement Analysis 
PT. IlmuKomputerCom Braindevs Sistema,02BD - Business Analyst ,"Menara Bidakara 1  Lantai 2,
Jl. Gatot Subroto Kav. 71-73 Pancoran
Jakarta Selatan 12870",Time Management Systems Analysis & Design Critical Thinking Team Work Requirement Analysis Communication Skills 
PT. IlmuKomputerCom Braindevs Sistema,03BD - Product Manager,"Menara Bidakara 1  Lantai 2,
Jl. Gatot Subroto Kav. 71-73 Pancoran
Jakarta Selatan 12870",Systems Analysis and Design Communication Skills Team Work Time Management Software Engineering 
PT. IlmuKomputerCom Braindevs Sistema,04BD - Software Engineer,"Menara Bidakara 1  Lantai 2,
Jl. Gatot Subroto Kav. 71-73 Pancoran
Jakarta Selatan 12870",Software Engineering Time Management Communication Skills Systems Analysis and Design Team Work 
PT. IlmuKomputerCom Braindevs Sistema, 05BD - Data Scientist,"Menara Bidakara 1  Lantai 2,
Jl. Gatot Subroto Kav. 71-73 Pancoran
Jakarta Selatan 12870","Data Mining Text Mining Data Visualization Team Work Statistical & Probabilistic Public Speaking Logic, Programming & Algorithm Creativity Time Management Data Preprocessing "
PT. IlmuKomputerCom Braindevs Sistema,06BD - Data Analyst,"Menara Bidakara 1  Lantai 2,
Jl. Gatot Subroto Kav. 71-73 Pancoran
Jakarta Selatan 12870","Data Mining Team Work Text Mining Logic, Programming & Algorithm Time Management Data Visualization Public Speaking Statistical & Probabilistic Data Preprocessing Creativity "
PT. IlmuKomputerCom Braindevs Sistema,07BD - Software Architect,"Menara Bidakara 1  Lantai 2,
Jl. Gatot Subroto Kav. 71-73 Pancoran
Jakarta Selatan 12870",Communication Creativity Pengembangan Business Architecture Analytical Thinking Time Management Pengembangan Technology Architecture Pengembangan Architecture Implementation Pengembangan Application Architecture Team Work Pengembangan Data Architecture Pengembangan Architecture Vision 
PT. IlmuKomputerCom Braindevs Sistema,08BD - Enterprise Architect,"Menara Bidakara 1  Lantai 2,
Jl. Gatot Subroto Kav. 71-73 Pancoran
Jakarta Selatan 12870",Pengembangan Architecture Implementation Communication Pengembangan Technology Architecture Pengembangan Application Architecture Pengembangan Data Architecture Creativity Pengembangan Architecture Vision Time Management Pengembangan Business Architecture Team Work Analytical Thinking 
PT Stadikel Edukasi Teknologi,2D Animator,"Jl. Ki Hajar Dewantara No. 73, Jawa Barat",2D Design Adaptability Interactive Content Development Animation Design Digital Illustration Concept Drawing Project Management Digital Effect and Compositing Communication and Teamwork 
PT GIT SOLUTION,2D Artist,,"Pemahaman terhadap alur produksi 2D artist di dalam produksi game, serta implementasi nya Melakukan analisis dari sisi style Game Designer Melakukan riset terkait trend desain/gambar, seperti style gambar bersama dengan Tim. Membuat asset sesuai kebutuhan dari Game Design Document Melakukan analisis dari sisi warna Game Designer "
