mitra_name,course_name,address,description
PT Semesta Integrasi Digital,21st-Century Digital Educator (Guru Digital Abad 21),"Jl. Jeruk Purut Dalam No.33, RT.6/RW.3, Cilandak Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560.","Pembelajaran blended learning terintegrasi digital Manajemen kelas yang berpusat pada siswa dalam pembelajaran blended learning Asesmen dan perannya dalam pembelajaran blended learning Kurikulum dan kompetensi Masa Depan Profil dan peran seorang guru digital abad 21 Profil dan kebutuhan seorang pelajar abad 21 Keterampilan komunikasi efektif untuk guru Design Thinking dalam Pembelajaran Konsep blended learning, strategi-strategi blended learning yang efektif dan aplikasinya dalam praktik pembelajaran Merancang pembelajaran blended learning yang efektif Proyek akhir "
PT STECHOQ ROBOTIKA INDONESIA,3D Designing Course for Digital Transformation and Industry 4.0,"Jalan Belimbing A-17 Perum Sidoarum Blok II, Godean, Sleman, Yogyakarta",Pre Produksi Advanced 3D Produksi Tahap Akhir Post Produksi Basic 3D Intermediated 3D Manajemen File dan Scene 
Terra Weather Pte. Ltd, AI4IMPACT Apprenticeship - REVOLUSI EDUKASI,"10 Bukit Batok Crescent, 04-03D The Spire, Singapore 658079","Design Thinking for Web-Based, Data-Driven Interactive Learning Platform Chatbot Basics  Chatbot Intermediate Gamification Strategies for E-Learning Chatbot Product Development 101: Asking the right questions Hacking Chatbots through Templates Technology Transfer 101; Build, Document, Teach Product Development 101: Testing and Iterating "
Terra Weather Pte. Ltd, AI4IMPACT Apprenticeship - TOKOBOT,"10 Bukit Batok Crescent, 04-03D The Spire, Singapore 658079","Chatbot Basics Design Thinking for Business and Marketing Chatbots Product Development 101: Testing and Iterating Product Development 101: Asking the right questions Design Thinking for Viral Marketing Engine Chatbot Intermediate Hacking Chatbots through Templates Technology Transfer 101; Build, Document, Teach "
PT Orbit Ventura Indonesia,AI 4 Jobs,"Veteran RI Building 15th Floor Unit Z15-002, Plaza Semanggi Jl.Jend.Sudirman Kav. 50, Jakarta Indonesia - 12930",3. Siklus Projek AI 2. Metode Penelitian AI 4. Pemrograman Python 1. Logika dan Konsep Teknologi AI 6. Proyek Akhir 5. Etika Profesi & Keterampilan Perusahaan 
PT Mitra Semeru Indonesia,AI for StartUps,"Jl. Mampang Prapatan Raya no 84A, Tegal Parang, Mampang Prapatan, Jakarta Selatan



",1. Logika dan Konsep Teknologi AI  2. Siklus Projek AI  3. Pemrograman Python  4. Metode Penelitian AI  6. Proyek Akhir  5. Kewirausahaan  
PT Orbit Ventura Indonesia,AI Mastery Program,"Veteran RI Building 15th Floor Unit Z15-002, Plaza Semanggi Jl.Jend.Sudirman Kav. 50, Jakarta Indonesia - 12930","4. Natural Language Processing 1. Artificial Intelligence, Machine Learning, Deep Learning with Python 3. Computer Vision 6. Deployment 7. Proyek Akhir   2. Data Science 5. Reinforcement Learning "
PT Nurul Fikri Cipta Inovasi,Akademi Digital Marketing,"Jl. Situ Indah No.116 RT. 006 RW. 010 Kel. Tugu,  Kec. Cimanggis, Kota Depok, Jawa Barat","CRM Web Design untuk Digital Marketing Pengembangan Produk Kewirausahaan, Kanvas Model Bisnis, dan Rencana Bisnis Content Marketing dan Keyword Research Search Engine Marketing/Advertising Email Marketing Social Media Marketing Strategi Digital Marketing Multimedia untuk Digital Marketing SEO dan Web Analytics E-Commerce dan Marketplace Public Relation dan Publikasi Online Graphics Design untuk Digital Marketing Final Project Perilaku Konsumen di Era Digital Riset Pasar dengan Teknologi Digital Soft Skill Pengantar Digital Marketing "
PT Nurul Fikri Cipta Inovasi,Akademi Fullstack Web Developer,"Jl. Situ Indah No.116 RT. 006 RW. 010 Kel. Tugu,  Kec. Cimanggis, Kota Depok, Jawa Barat",Desain Web Version Control System (VCS): Git/Github Pemrograman JavaScript Framework Laravel Database MySQL  Final Project REST API Pemrograman PHP UI/UX Soft Skill 
PT Nurul Fikri Cipta Inovasi,Akademi Mobile App Developer,"Jl. Situ Indah No.116 RT. 006 RW. 010 Kel. Tugu,  Kec. Cimanggis, Kota Depok, Jawa Barat",Soft Skill  UI/UX Design Pattern Pemrograman Mobile Code Versioning Dasar-dasar Pemrograman Databases Final Project 
PT LENTERA BANGSA BENDERANG,Android Engineering,,"Mampu mendeklarasi Dasar-dasar Activity, Fragment, dan Proses Navigasi antar Screen dalam Android Studio Mampu menggunakan fitur-fitur dasar dan penyimpanan lokal yang digunakan oleh Android Mengetahui Pengantar Dunia Pemrograman Mampu menggunakan berbagai tools dan langkah pengembangan yang dibutuhkan dalam menunjang pembuatan aplikasi Android Mampu menerapkan langkah-langkah pengembangan, deployment dan penggunaan tools yang bertujuan menjaga agar aplikasi yang belum dan sudah dipublikasikan berkualitas tinggi Mampu menggunakan tools pendukung android Mampu mendeklarasikan bahasa pemrograman dasar Kotlin Mampu mengeksekusi proses background aplikasi, memproses jenis file dan implementasi app arsitektur yang baik Mampu menghubungkan aplikasi android ke server serta menampilkan data di interface aplikasi android Mampu membuat sebuah aplikasi Android dengan mengimplementasikan konsep yang sudah dipelajari bersama tim dengan memanfaatkan collaboration tools dan tools lainnya "
PT Hacktivate Teknologi Indonesia,Android Java for Mobile Developer ,"Gedung Aquarius Lt. 1&2, Jl. Sultan Iskandar Muda No. 7,  RT. 005 RW. 009, Kebayoran Lama Selatan, Kebayoran Lama, Jakarta Selatan 12240","Memahami serta mengimplementasikan library hingga User Interface 3rd Parties sebagai kerangka kerja awal pembuatan sebuah aplikasi Android Memahami cara menggunakan API yang tersedia melalui Software Distribution Kit (SDK), hingga metode publikasi ke Google Play Store. Menguasai proses API development menggunakan Java Native sebagai junior Android Developer Memahami konsep dasar bahasa Java Native dan pengembangannya Memahami konsep dasar dan penerapan Android sebagai fundamental dasar seorang Android Programmer. "
PT Panji Edukasi Nusantara / Apple Developer Academy,Apple Developer Academy ,"Apple Developer Academy @ BINUS
Jl. BSD Green Office Park 9,  Tangerang.

Apple Developer Academy @ UC
Universitas Ciputra, Surabaya.

Apple Developer Academy @ IL 
Nongsa Digital Park, Riau Island.","Subject Strands  The subject strands represent categories of content the learners experience during the learning journey.  Technical - Logic and Programming, Interfaces Development, Developer Tools, Media, Animation and Games, Operating Systems, Platform Functionalities, and Supporting Frameworks  Design - Accessibility, Branding, Design Fundamentals, HIG Basic Concepts, Prototyping, User-Centered Design, Game Design, and art direction, and HIG Advanced Concepts  Process - CBL Engage, CBL Investigate, CBL Act, CBL Supporting Activities, Project Management, and Scrum.  Business and Marketing - App Business, App Marketing, Entrepreneurship, Legal Guidelines, Store Guidelines, Store Presence, and User Engagement  Professional Skills - Collaboration, Communication, Storytelling, Presentations, Creative Workflow, Employability, Personal Growth . "
PT. Sintesis Komunikasi Indonesia ,Artificial Intelligence For GenZ Jobseekers,"Jl. Cisanggiri V, No 6, Petogogan, Kebayoran Baru, Jakarta Selatan 12170",1. Logika dan Konsep Teknologi AI 2. Metode Penelitian AI 3. Siklus Projek AI 4. Pemrograman Python 5. Etika Profesi & Keterampilan Perusahaan 6. Proyek Akhir 
PT Ruang Raya Indonesia,Backend Engineering,"Jl. Dr. Saharjo No.161, Manggarai Selatan, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860","Final Project Software Engineering: Menerapkan proses pengembangan software dengan menggunakan Code Editor Visual Studio Code, Terminal, version control, dan basic networking. Basic Frontend Web Development With HTML & CSS: Memahami penulisan HTML dan penggunaan CSS dalam Web Development dasar Dasar Pemrograman Backend: Memahami dan mampu menulis pemrogramman dasar menggunakan Go (Golang). Dan memahami basic Data structure dan Algorithm termasuk test dasar yang biasa digunakan dalam Coding Interview Database Management & Technology: Memahami dan mampu membuat database design yang efisien dengan Relational Database dan NoSQL Web Application: Memahami dan mampu melakukan pemrograman degan Go (Golang) untuk membuat program aplikasi yang efisien dengan mengimplementasikan REST API dan menerapkan Clean Architecture juga implementasi basic design Pattern General Competencies: Pembelajaran tambahan yang dapat mendukung kemampuan peserta dalam mengikuti dan menerapkan program digital marketing yang meliputi: 1) Communication and Presentations SkilI 2) Analytical & Strategic Thinking Skill "
PT LENTERA BANGSA BENDERANG,Backend Java,,Mengetahui Pengantar Dunia Pemrograman Memodifikasi OOP dan Style Functional dengan menerapkan Unit Testing secara tepat Mengimplementasikan Security untuk Membuat Authorization & Authentication Menguasai syntax dasar pada pemrograman Java  Menerapkan Algoritma Programming dan OOP untuk Membuat Aplikasi Menerapkan Spring Framework untuk Membuat ERD dan CRUD Data pada Database Menerapkan Spring Web untuk Membuat Restful API Mengimplementasikan Libraries yang Sering Digunakan oleh Java Back End Engineer Melakukan kolaborasi tim pengembangan aplikasi dengan iterasi proses testing dan evaluasi melalui repository Github Mengimplementasikan Firebase untuk Membuat In App Notification Pada Website 
PT LENTERA BANGSA BENDERANG,Backend Javascript,,"Mengetahui Pengantar Dunia Pemrograman Mampu melakukan testing dan deployment Networking, API Documentation dan Design Pattern Memahami logika pemrograman dengan menggunakan Javascript Memahami penggunaan authentication dan media handling untuk mendukung pengembangan fitur pada web Memahami basic programing dengan menggunakan bahasa pemrograman Javascript Pengolahan data di backend dengan database PostgreeSQL Mampu membuat rest API  Melakukan kolaborasi tim pengembangan aplikasi dengan iterasi proses testing dan evaluasi melalui repository Github Memahami penggunaan web socket, in app notification dan mailer untuk mendukung pengembangan fitur pada web "
PT Cloud Ace Integra,Basic Fundamental of Google Cloud Platform,"Nippon Bldg 11F #1106, 2-6-2 Otemachi, Chiyoda-ku,
Tokyo 100-0004 Japan  / Cohive 101 Mega Kuningan","Part 4 - Introduction to Computing in Google Cloud Part 8 - Managing Kubernetes Cluster Part 1 - Overview of Google Cloud Platform Part 2 - Google Cloud Computing Services Part 3 - Projects,Service Accounts, And Billing Part 5 - Computing with Compute Engine Virtual Machines Part 6 - Managing Virtual Machines  Part 7 - Computing with Kubernetes Part 9 - Computing with App Engine Part 11 - Planning Storage  in the Cloud Part 12 - Deploying Storage on Google Cloud Platform Part 10 - Computing with Cloud Function Part 13 - Loading Data into Storage Part 14 - Networking in the Cloud: Virtual Private Clouds and Virtual Private Networks Part 15 - Networking in the Cloud: DNS, Load Balancing, and IP Addressing Part 16 - Deploying Applications with Cloud Launcher and Deployment Manager Part 17 - Configuring Access and Security Part 18 - Monitoring, Logging, and Cost Estimating "
PT Marka Kreasi Persada,Be a Top Search Quality Engineer,,Coding Competence Mini Project Dasar Pengujian Perangkat Lunak Pengujian Performa Perangkat Lunak Pemrograman Perangkat Lunak Pengujian Multi-Platform Capstone Project 
PT Neosia Pratama Indonusa,"BIM & Digital Twins - Architecture, Civil Engineering and Construction","Sona Topas Tower, lt. 5A/526. Jl. Jendral Sudirman, KAV 26. Karet Kuningan, Setiabudi.
Jakarta Selatan. DKI Jakarta",Pemodelan BIM Disiplin Struktur Pemodelan BIM Disiplin Arsitektur Workflow Pemodelan Bangunan dan Infrastruktur  Presentasi dan Visualisasi Project Workflow analisis dan kolaborasi tim pada Project Pemodelan BIM Analisis Struktur Pemodelan BIM Disiplin Mekanikal Pemodelan BIM Disiplin Elektrikal Pemodelan BIM Generative Components Project Kolaborasi Digital AEC 
PT BISA ARTIFISIAL INDONESIA,Bisnis Kecerdasan Artifisial (AI-HUSTLER),JLN. IR H JUANDA NO. 84 BANDUNG,Pembelajaran Wajib 1 Pembelajaran Wajib 2 Pembelajaran Pilihan 2 Pembelajaran  Pilihan 1 Pembelajaran Projek Capstone 
PT BISA ARTIFISIAL INDONESIA,Blockchain Kecerdasan Artifisial (AI-BLOCKCHAIN),JLN. IR H JUANDA NO. 84 BANDUNG,Pembelajaran Pilihan 2 Pembelajaran Wajib 1 Pembelajaran Wajib 2 Pembelajaran Pilihan 1 Pembelajaran Projek Capstone 
PT Neosia Pratama Indonusa,CAD/CAM & CAE - Mechanical  Engineering Design & Analysis,"Sona Topas Tower, lt. 5A/526. Jl. Jendral Sudirman, KAV 26. Karet Kuningan, Setiabudi.
Jakarta Selatan. DKI Jakarta",Pemodelan Mekanikal dengan Autodesk Inventor CAD/CAM/CAE dengan Solidworks Drafting dengan AutoCAD Mechanical Project Kolaborasi Digital Mekanikal 
PT CADFEM SIMULATION TECHNOLOGY INDONESIA,CADFEM Ansys - Computational Fluids Dynamic (CFD) Learning Track,"Munich, Germany",Fluid Kinematics Simple Approximations of Fluid Flows What are Fluids? Governing Equations of Fluid Dynamics Dimensional Analysis and Similarity Studi Kasus Fluid Statics Viscous Laminar Flows Sertifikasi Internasional 
PT CADFEM SIMULATION TECHNOLOGY INDONESIA,CADFEM Ansys - Finite Element Analysis (FEA) Learning Track,"Munich, Germany",Studi Kasus Sertifikasi Internasional Stress Analysis in Solid Mechanics Strain in Deformation Analysis Stress and Local Equilibrium Structural Dynamics Time Domain Dynamic Problems Structural Nonlinearity Large Deformation Modal Analysis 
PT Mitra Talenta Grup, Celerates Acceleration Program (Big Data & Business Intelligence),"The Manhattan Square Mid Tower 12th Floor. Jl. TB Simatupang Kav 1-S, Jakarta, 12560.", Database & SQL Python for Data Analytics Data Warehouse ETL (Pentaho) Statistic Data Visualization (Tableau & Power BI) Big Data & Cloud Technology Machine Learning Deep Learning 
PT Chairos International Ventures,Cloud Computing For Jobseekers,Gedung GMT Lt. 3 Jl. Wijaya 1 no. 5 Petogogan Kebayoran Baru Jakarta Selatan ,"1. Fundamental of Cloud Computing 2. Databases and Files 3. Python Programming 4.Linux Fundamental 6. AWS IAM & Networking 10. Final Project 5. AWS Cloud Introduction 8. AWS Security & Billing 7. AWS Storage, Compute, and Database 9. AWS Certified Cloud Practitioner Exam Preparation "
PT DWI INTI PUTRA,Data Analyst,,Capstone Project Support Group Introduction to Python  Group Mentoring Microsoft Office Specialist: Excel Associate   Career Mentoring 1 on 1 Microsoft Office Specialist: Excel Expert  Microsoft Power Platform Fundamental (PL-900) IT Specialist: Data Analytics IT Specialist: Databases 
PT Greatedu Global Mahardika,DATA ANALYTICS ,"8A, RT.12/RW.1, Pejaten Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",Mengidentifikasi dan menyimpulkan pengetahuan dasar mengenai Data Analytics Memiliki inisiatif dan  bertanggung jawab Refleksi diri Mengembangkan soft skills yang harus dimiliki seorang Data Analis Persiapan karir bagi calon Data Analis Menggunakan excel sebagai awalan untuk melakukan  analisis data Aktif dan mandiri Mengoperasikan NumPy sebagai tools untuk proses komputasi numerik Membuat visualisasi data menggunakan chart dan plot dengan python Final Project: Memberikan insight/rekomendasi kepada tim dari hasil analisis data Mengaplikasikan statistika sebagai dasar melakukan analisis data Membuat dokumentasi dan matematika dasar pada python Mengoperasikan Pandas untuk mengelola data berbentuk tabel Mengaplikasikan proses Data Wranging untuk mengolah data Menyelesaikan analisis dan visualisasi data dengan menggunakan tools python beserta library python Mengoperasikan library python menggunakan NumPy dan Pandas 
PT. INDOBIT DIGITAL RAYA,Data Analytics for Business,"Educenter building unit 22218
Kav Commercial International School II No 8 BSD City, Jalan Sekolah Foresta, BSD City, Tangerang, Banten 15331",Program Onboarding Data Collection Overview of Being Data Analyst & Opportunities in Industry Introduction to Data Analytics and Relational Database Concept Data Preparation for Visualisation Introduction to Python  Programming for Data Analytics Career Preparation Essentials Project-based Learning Graduation Day SQL for Data Analytics Business Analysis and Problem Solving Exploratory Data Analysis with Python Data Dashboarding 101 and Create Valuable Insight Communicate Insights through Data Storytelling Mid Exam Soft skills for Young Professionals 
PT Mitra Integrasi Informatika,Data Analytic with Power Platform and Business Intelligence Tools,"APL Tower Lantai 37, Jl. Letjen S. Parman Kav. 28, RT.12/RW.6, Tj. Duren Sel., Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","Data Concept & Environment Office Word-Excel-PowerPoint Data Mining Data Analysis Office 365 Data Governance, Quality, & Control Power BI Data Analyst "
PT Ruang Raya Indonesia,Data Business & Analytics,"Jl. Dr. Saharjo No.161, Manggarai Selatan, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860","Digital Product Analytics: memahami dasar-dasar digital product analytics untuk meningkatkan sistem operasional dalam bisnis. Data & Visualization with Tableau Memahami cara untuk memvisualisasikan data menggunakan Tableau agar data dapat lebih mudah dipahami. SQL for Analytics: Memahami dasar-dasar SQL dan mampu menggunakannya untuk ekstraksi data dari basis data relasional Introduction to Data Analytics for Business: Menyusun, menyortir, memproses, dan mempelajari data bisnis menggunakan metode dan teknik tertentu untuk diubah menjadi suatu business insight.  Final Project: mampu mengeksekusi suatu rangkaian projek data analitik yang mewakili real-case di industri meliputi tahap persiapan data, pengolahan data, pemodelan sampai dengan tahap visualisasi (dashboard).  General Competencies: Pembelajaran tambahan yang dapat mendukung kemampuan peserta dalam mengikuti dan menerapkan program digital marketing yang meliputi: 1) Communication and Presentations SkilI  2)Analytical & Strategic Thinking Skill "
PT DWI INTI PUTRA,Data Scientist,,"Python (Panda, Numpy, Seaborn, Matplotlib) IT Specialist: Python  Support Group Capstone Project Fundamental of Statistics IT Specialist: Databases Career Mentoring 1 on 1 Group Mentoring Microsoft Azure AI Fundamentals (AI-900) "
