mitra_name,course_name,address,description
PT Semesta Integrasi Digital,21st-Century Digital Educator (Guru Digital Abad 21),"Jl. Jeruk Purut Dalam No.33, RT.6/RW.3, Cilandak Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560.","Digital integrated blended learning Student-centred classroom management in blended learning Assessment and its role in blended learning Curriculum and competencies of the Future Profile and role of a 21st century digital teacher Profile and needs of a 21st century learner Effective communication skills for teachers Design Thinking in Learning The concept of blended learning, effective blended learning strategies and their application in learning practice Designing effective blended learning Final project"
PT STECHOQ ROBOTIKA INDONESIA,3D Designing Course for Digital Transformation and Industry 4.0,"Jalan Belimbing A-17 Perum Sidoarum Blok II, Godean, Sleman, Yogyakarta",Pre Production Advanced 3D Final Production Post Production Basic 3D Intermediated 3D File and Scene Management
Terra Weather Pte. Ltd, AI4IMPACT Apprenticeship - REVOLUSI EDUKASI,"10 Bukit Batok Crescent, 04-03D The Spire, Singapore 658079","Design Thinking for Web-Based, Data-Driven Interactive Learning Platform Chatbot Basics  Chatbot Intermediate Gamification Strategies for E-Learning Chatbot Product Development 101: Asking the right questions Hacking Chatbots through Templates Technology Transfer 101; Build, Document, Teach Product Development 101: Testing and Iterating"
Terra Weather Pte. Ltd, AI4IMPACT Apprenticeship - TOKOBOT,"10 Bukit Batok Crescent, 04-03D The Spire, Singapore 658079","Chatbot Basics Design Thinking for Business and Marketing Chatbots Product Development 101: Testing and Iterating Product Development 101: Asking the right questions Design Thinking for Viral Marketing Engine Chatbot Intermediate Hacking Chatbots through Templates Technology Transfer 101; Build, Document, Teach"
PT Orbit Ventura Indonesia,AI 4 Jobs,"Veteran RI Building 15th Floor Unit Z15-002, Plaza Semanggi Jl.Jend.Sudirman Kav. 50, Jakarta Indonesia - 12930",3.AI Project Cycle 2.AI Research Methods 4.Python 1 programming.AI Technology Logic and Concept 6.Final Project 5.Professional Ethics & Company Skills
PT Mitra Semeru Indonesia,AI for StartUps,"Jl. Mampang Prapatan Raya no 84A, Tegal Parang, Mampang Prapatan, Jakarta Selatan



",1.AI Technology Logic and Concept 2.AI Project Cycle 3.Python 4 programming.AI Research Methods 6.Final Project 5.Entrepreneurship
PT Orbit Ventura Indonesia,AI Mastery Program,"Veteran RI Building 15th Floor Unit Z15-002, Plaza Semanggi Jl.Jend.Sudirman Kav. 50, Jakarta Indonesia - 12930","4.Natural Language Processing 1.Artificial Intelligence, Machine Learning, Deep Learning with Python 3.Computer Vision 6.Deployment 7.Final Project 2.Data Science 5.Reinforcement Learning"
PT Nurul Fikri Cipta Inovasi,Akademi Digital Marketing,"Jl. Situ Indah No.116 RT. 006 RW. 010 Kel. Tugu,  Kec. Cimanggis, Kota Depok, Jawa Barat","CRM Web Design for Digital Marketing Entrepreneurship Product Development, Business Model Canvas, and Business Plans Content Marketing and Keyword Research Search Engine Marketing/Advertising Email Marketing Social Media Marketing Digital Marketing Strategy Multimedia for Digital Marketing SEO and Web Analytics E-Commerce and Marketplace Public Relations and Online Graphic Design Publication for Digital Marketing Final Project Consumer Behavior in the Digital Age Market Research with Digital Technology Soft Skill Introduction to Digital Marketing"
PT Nurul Fikri Cipta Inovasi,Akademi Fullstack Web Developer,"Jl. Situ Indah No.116 RT. 006 RW. 010 Kel. Tugu,  Kec. Cimanggis, Kota Depok, Jawa Barat",Desain Web Version Control System (VCS): Git/Github Pemrograman JavaScript Framework Laravel Database MySQL  Final Project REST API Pemrograman PHP UI/UX Soft Skill
PT Nurul Fikri Cipta Inovasi,Akademi Mobile App Developer,"Jl. Situ Indah No.116 RT. 006 RW. 010 Kel. Tugu,  Kec. Cimanggis, Kota Depok, Jawa Barat",Soft Skill UI/UX Design Pattern Programming Mobile Code Versioning Fundamentals of Programming Databases Final Project
PT LENTERA BANGSA BENDERANG,Android Engineering,,"Able to declare the Basics of Activity, Fragment, and Process Navigation between Screens in Android Studio Able to use basic features and local storage used by Android Knowing Introduction to the World of Programming Able to use various tools and development steps needed to support the creation of Android applications Able to apply steps for development, deployment and use of tools aimed at maintaining high quality unpublished and published applications Able to use android supporting tools Able to declare the basic Kotlin programming language Able to execute application background processes, process file types and implement good app architecture Able to connect applications android to the server and displays data in the android application interface Able to create an Android application by implementing concepts that have been studied with the team by utilizing collaboration tools and other tools"
PT Hacktivate Teknologi Indonesia,Android Java for Mobile Developer ,"Gedung Aquarius Lt. 1&2, Jl. Sultan Iskandar Muda No. 7,  RT. 005 RW. 009, Kebayoran Lama Selatan, Kebayoran Lama, Jakarta Selatan 12240","Understanding and implementing libraries to the 3rd Parties User Interface as an initial framework for creating an Android application Understanding how to use the APIs available through the Software Distribution Kit (SDK), to the publication method to the Google Play Store.Mastering the API development process using Java Native as a junior Android Developer Understanding the basic concepts of the Java Native language and its development Understanding the basic concepts and implementation of Android as the basic fundamentals of an Android Programmer."
PT Panji Edukasi Nusantara / Apple Developer Academy,Apple Developer Academy ,"Apple Developer Academy @ BINUS
Jl. BSD Green Office Park 9,  Tangerang.

Apple Developer Academy @ UC
Universitas Ciputra, Surabaya.

Apple Developer Academy @ IL 
Nongsa Digital Park, Riau Island.","Subject Strands  The subject strands represent categories of content the learners experience during the learning journey.Technical - Logic and Programming, Interfaces Development, Developer Tools, Media, Animation and Games, Operating Systems, Platform Functionalities, and Supporting Frameworks  Design - Accessibility, Branding, Design Fundamentals, HIG Basic Concepts, Prototyping, User-Centered Design, Game Design, and art direction, and HIG Advanced Concepts  Process - CBL Engage, CBL Investigate, CBL Act, CBL Supporting Activities, Project Management, and Scrum.Business and Marketing - App Business, App Marketing, Entrepreneurship, Legal Guidelines, Store Guidelines, Store Presence, and User Engagement  Professional Skills - Collaboration, Communication, Storytelling, Presentations, Creative Workflow, Employability, Personal Growth ."
PT. Sintesis Komunikasi Indonesia ,Artificial Intelligence For GenZ Jobseekers,"Jl. Cisanggiri V, No 6, Petogogan, Kebayoran Baru, Jakarta Selatan 12170",1.AI Technology Logic and Concept 2.AI Research Methods 3.AI Project Cycle 4.Python 5 programming.Professional Ethics & Company Skills 6.Final project
PT Ruang Raya Indonesia,Backend Engineering,"Jl. Dr. Saharjo No.161, Manggarai Selatan, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860","Final Project Software Engineering: Implementing the software development process using the Visual Studio Code Code Editor, Terminal, version control, and basic networking.Basic Frontend Web Development With HTML & CSS: Understanding writing HTML and using CSS in basic Web Development Basic Backend Programming: Understanding and being able to write basic programming using Go (Golang).And understand basic data structures and algorithms including basic tests commonly used in Coding Interview Database Management & Technology: Understand and be able to create efficient database designs with Relational Databases and NoSQL Web Applications: Understand and be able to do programming with Go (Golang) to create programs efficient application by implementing REST API and implementing Clean Architecture as well as implementing basic design Pattern General Competencies: Additional learning that can support participants' ability to follow and implement digital marketing programs which include: 1) Communication and Presentations Skills 2) Analytical & Strategic Thinking Skills"
PT LENTERA BANGSA BENDERANG,Backend Java,,Knowing Introduction to the World of Programming Modifying OOP and Functional Style by applying Unit Testing properly Implementing Security to Create Authorization & Authentication Mastering basic syntax in Java programming Implementing Programming and OOP Algorithms to Create Applications Implementing Spring Framework to Create ERD and CRUD Data on Databases Implementing Spring Web to Create Restful APIs Implement Libraries Frequently Used by Java Back End Engineers Collaborate with application development teams by iterating the testing and evaluation process through the Github repository Implementing Firebase to Create In App Notifications on Websites
PT LENTERA BANGSA BENDERANG,Backend Javascript,,"Know the Introduction to the World of Programming Be able to do testing and deployment of Networking, API Documentation and Design Patterns Understand programming logic using Javascript Understand the use of authentication and media handling to support feature development on the web Understand basic programming using the Javascript programming language Data processing on the backend with the PostgreeSQL database Able create a rest API Collaborate with the application development team by iterating the testing and evaluation process through the Github repository Understanding the use of web sockets, in app notifications and mailers to support feature development on the web"
