mitra_name,address,description,program,course_position
Muhammad Falah Abdurrafi,"Kaliwungu Selatan, Kendal, Jawa Tengah, 51372","Programming Algorithm, Programming Language, Digital System, Computer Architectur, Graph Automata, Database Implementation, Structured Programming, Database System, Statistics, Data Structure, Computer Network, Artificial Intelligence, AI, Object Oriented Programming, OOP, Web Programming, Software Engineering, Operating System, OS, Network Management Design, Mobile Application Programming, Android, Web Mobile Programming, Image Processing Distributed Database, Computer Graphic, Social Network, Machine Learning, ML, Geographic Information System, GIS, Text Mining, Web Service, rest api, php, python, laravel",Kuliah,Mata Kuliah
PT Semesta Integrasi Digital,"Jl. Jeruk Purut Dalam No.33, RT.6/RW.3, Cilandak Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560.","Digital integrated blended learning Student-centred classroom management in blended learning Assessment and its role in blended learning Curriculum and competencies of the Future Profile and role of a 21st century digital teacher Profile and needs of a 21st century learner Effective communication skills for teachers Design Thinking in Learning The concept of blended learning, effective blended learning strategies and their application in learning practice Designing effective blended learning Final project",Studi Independen,21st-Century Digital Educator (Guru Digital Abad 21)
PT STECHOQ ROBOTIKA INDONESIA,"Jalan Belimbing A-17 Perum Sidoarum Blok II, Godean, Sleman, Yogyakarta",Pre Production Advanced 3D Final Production Post Production Basic 3D Intermediated 3D File and Scene Management,Studi Independen,3D Designing Course for Digital Transformation and Industry 4.0
Terra Weather Pte. Ltd,"10 Bukit Batok Crescent, 04-03D The Spire, Singapore 658079","Design Thinking for Web-Based, Data-Driven Interactive Learning Platform Chatbot Basics  Chatbot Intermediate Gamification Strategies for E-Learning Chatbot Product Development 101: Asking the right questions Hacking Chatbots through Templates Technology Transfer 101; Build, Document, Teach Product Development 101: Testing and Iterating",Studi Independen, AI4IMPACT Apprenticeship - REVOLUSI EDUKASI
Terra Weather Pte. Ltd,"10 Bukit Batok Crescent, 04-03D The Spire, Singapore 658079","Chatbot Basics Design Thinking for Business and Marketing Chatbots Product Development 101: Testing and Iterating Product Development 101: Asking the right questions Design Thinking for Viral Marketing Engine Chatbot Intermediate Hacking Chatbots through Templates Technology Transfer 101; Build, Document, Teach",Studi Independen, AI4IMPACT Apprenticeship - TOKOBOT
PT Orbit Ventura Indonesia,"Veteran RI Building 15th Floor Unit Z15-002, Plaza Semanggi Jl.Jend.Sudirman Kav. 50, Jakarta Indonesia - 12930",3.AI Project Cycle 2.AI Research Methods 4.Python 1 programming.AI Technology Logic and Concept 6.Final Project 5.Professional Ethics & Company Skills,Studi Independen,AI 4 Jobs
PT Mitra Semeru Indonesia,"Jl. Mampang Prapatan Raya no 84A, Tegal Parang, Mampang Prapatan, Jakarta Selatan    ",1.AI Technology Logic and Concept 2.AI Project Cycle 3.Python 4 programming.AI Research Methods 6.Final Project 5.Entrepreneurship,Studi Independen,AI for StartUps
PT Orbit Ventura Indonesia,"Veteran RI Building 15th Floor Unit Z15-002, Plaza Semanggi Jl.Jend.Sudirman Kav. 50, Jakarta Indonesia - 12930","4.Natural Language Processing 1.Artificial Intelligence, Machine Learning, Deep Learning with Python 3.Computer Vision 6.Deployment 7.Final Project 2.Data Science 5.Reinforcement Learning",Studi Independen,AI Mastery Program
PT Nurul Fikri Cipta Inovasi,"Jl. Situ Indah No.116 RT. 006 RW. 010 Kel. Tugu,  Kec. Cimanggis, Kota Depok, Jawa Barat","CRM Web Design for Digital Marketing Entrepreneurship Product Development, Business Model Canvas, and Business Plans Content Marketing and Keyword Research Search Engine Marketing/Advertising Email Marketing Social Media Marketing Digital Marketing Strategy Multimedia for Digital Marketing SEO and Web Analytics E-Commerce and Marketplace Public Relations and Online Graphic Design Publication for Digital Marketing Final Project Consumer Behavior in the Digital Age Market Research with Digital Technology Soft Skill Introduction to Digital Marketing",Studi Independen,Akademi Digital Marketing
PT Nurul Fikri Cipta Inovasi,"Jl. Situ Indah No.116 RT. 006 RW. 010 Kel. Tugu,  Kec. Cimanggis, Kota Depok, Jawa Barat",Desain Web Version Control System (VCS): Git/Github Pemrograman JavaScript Framework Laravel Database MySQL  Final Project REST API Pemrograman PHP UI/UX Soft Skill,Studi Independen,Akademi Fullstack Web Developer
PT Nurul Fikri Cipta Inovasi,"Jl. Situ Indah No.116 RT. 006 RW. 010 Kel. Tugu,  Kec. Cimanggis, Kota Depok, Jawa Barat",Soft Skill UI/UX Design Pattern Programming Mobile Code Versioning Fundamentals of Programming Databases Final Project,Studi Independen,Akademi Mobile App Developer
PT LENTERA BANGSA BENDERANG,(Alamat Tidak Tersedia),"Able to declare the Basics of Activity, Fragment, and Process Navigation between Screens in Android Studio Able to use basic features and local storage used by Android Knowing Introduction to the World of Programming Able to use various tools and development steps needed to support the creation of Android applications Able to apply steps for development, deployment and use of tools aimed at maintaining high quality unpublished and published applications Able to use android supporting tools Able to declare the basic Kotlin programming language Able to execute application background processes, process file types and implement good app architecture Able to connect applications android to the server and displays data in the android application interface Able to create an Android application by implementing concepts that have been studied with the team by utilizing collaboration tools and other tools",Studi Independen,Android Engineering
PT Hacktivate Teknologi Indonesia,"Gedung Aquarius Lt. 1&2, Jl. Sultan Iskandar Muda No. 7,  RT. 005 RW. 009, Kebayoran Lama Selatan, Kebayoran Lama, Jakarta Selatan 12240","Understanding and implementing libraries to the 3rd Parties User Interface as an initial framework for creating an Android application Understanding how to use the APIs available through the Software Distribution Kit (SDK), to the publication method to the Google Play Store.Mastering the API development process using Java Native as a junior Android Developer Understanding the basic concepts of the Java Native language and its development Understanding the basic concepts and implementation of Android as the basic fundamentals of an Android Programmer.",Studi Independen,Android Java for Mobile Developer 
PT Panji Edukasi Nusantara / Apple Developer Academy,"Apple Developer Academy @ BINUS Jl. BSD Green Office Park 9,  Tangerang.  Apple Developer Academy @ UC Universitas Ciputra, Surabaya.  Apple Developer Academy @ IL  Nongsa Digital Park, Riau Island.","Subject Strands  The subject strands represent categories of content the learners experience during the learning journey.Technical - Logic and Programming, Interfaces Development, Developer Tools, Media, Animation and Games, Operating Systems, Platform Functionalities, and Supporting Frameworks  Design - Accessibility, Branding, Design Fundamentals, HIG Basic Concepts, Prototyping, User-Centered Design, Game Design, and art direction, and HIG Advanced Concepts  Process - CBL Engage, CBL Investigate, CBL Act, CBL Supporting Activities, Project Management, and Scrum.Business and Marketing - App Business, App Marketing, Entrepreneurship, Legal Guidelines, Store Guidelines, Store Presence, and User Engagement  Professional Skills - Collaboration, Communication, Storytelling, Presentations, Creative Workflow, Employability, Personal Growth .",Studi Independen,Apple Developer Academy 
PT. Sintesis Komunikasi Indonesia ,"Jl. Cisanggiri V, No 6, Petogogan, Kebayoran Baru, Jakarta Selatan 12170",1.AI Technology Logic and Concept 2.AI Research Methods 3.AI Project Cycle 4.Python 5 programming.Professional Ethics & Company Skills 6.Final project,Studi Independen,Artificial Intelligence For GenZ Jobseekers
PT Ruang Raya Indonesia,"Jl. Dr. Saharjo No.161, Manggarai Selatan, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860","Final Project Software Engineering: Implementing the software development process using the Visual Studio Code Code Editor, Terminal, version control, and basic networking.Basic Frontend Web Development With HTML & CSS: Understanding writing HTML and using CSS in basic Web Development Basic Backend Programming: Understanding and being able to write basic programming using Go (Golang).And understand basic data structures and algorithms including basic tests commonly used in Coding Interview Database Management & Technology: Understand and be able to create efficient database designs with Relational Databases and NoSQL Web Applications: Understand and be able to do programming with Go (Golang) to create programs efficient application by implementing REST API and implementing Clean Architecture as well as implementing basic design Pattern General Competencies: Additional learning that can support participants' ability to follow and implement digital marketing programs which include: 1) Communication and Presentations Skills 2) Analytical & Strategic Thinking Skills",Studi Independen,Backend Engineering
